indicator1,indicator10,indicator11,indicator12,indicator13,indicator14,indicator15,indicator16,indicator17,indicator18,indicator19,indicator2,indicator21,indicator22,indicator23,indicator26,indicator27,indicator28,indicator29,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8,indicator9,ID,label_1
1.203890779,1.058256613,1.780852159,1.001066773,2.169708476,2.08486494,1.077562572,1.092145904,1.013533629,1.17685555,1.156844585,1.853187038,1.008070608,1.00252227,0.990936901,1.00252227,1.004162281,0.998366787,1.015004057,1.156844585,1.20828774,0.864420349,1.182927848,1.945043494,0.857015798,1.847529482,PER13,2
1.200149556,1.089322138,1.732638009,0.998927738,2.088162808,2.06457922,1.054006952,1.034155856,0.981166068,1.090007461,1.128122317,1.867199437,1.008070608,1.002350413,0.989367503,1.002350413,1.00201237,0.998366787,1.009065071,1.128122317,1.19126238,0.79889734,1.181916942,1.965363884,0.849993866,1.874969073,PER13,2
1.011287137,1.162331586,1.804672181,0.999518531,1.925510554,2.264443362,0.921951025,0.946515529,0.960038017,0.925232737,1.179787049,1.493729722,0.997127681,1.004028083,0.996971903,1.004028083,1.003751025,0.992402687,1.00652189,1.179787049,1.324295515,0.68284699,0.815126752,1.909614804,0.849584661,1.926164769,COD78,2
1.007088747,1.17677476,1.834935542,0.998912571,1.819585287,2.267520982,0.921360699,0.896268409,0.962952522,0.82753975,1.182169717,1.514308441,0.997127681,1.004028083,0.994230308,1.004028083,1.003751025,0.992402687,1.00652189,1.182169717,1.388895297,0.697900936,0.8411005,1.891932111,0.859422791,1.946096565,COD78,2
1.011287137,1.14201289,1.846875846,0.999867902,1.881207533,2.281202859,0.926772406,0.880947581,0.880718636,0.881176585,1.202189292,1.489123655,0.995952594,1.001923736,0.997224954,1.001923736,1.003414522,0.992805918,1.00770395,1.202189292,1.340445461,0.678725177,0.825067322,1.808531066,0.880395554,1.901481312,COD78,2
1.007088747,1.163292159,1.840485967,0.999867902,1.852367414,2.278146168,0.925306786,0.915482233,0.960038017,0.85781208,1.19742352,1.50524489,0.995952594,1.001923736,0.994982553,1.001923736,1.003414522,0.992805918,1.00770395,1.19742352,1.388895297,0.68284699,0.8411005,1.912441398,0.876883186,1.928019671,COD78,2
1.245609766,1.143135613,1.600141083,0.99919223,1.890326838,2.190042385,0.91408371,0.969521115,0.878466159,0.89236794,1.322245019,1.400050772,1.003017158,1.001572251,0.984857212,1.001572251,1.002447714,0.993926235,1.005568368,1.322245019,0.970385961,0.689100167,0.796782318,1.913830811,0.773634947,1.857537001,USA1576,2
1.245609766,1.143135613,1.600141083,0.99919223,1.890326838,2.190042385,0.91408371,0.969521115,0.878466159,0.89236794,1.322245019,1.400050772,1.003017158,1.001572251,0.984857212,1.001572251,1.002447714,0.993926235,1.005568368,1.322245019,0.970385961,0.689100167,0.796782318,1.913830811,0.773634947,1.857537001,USA1576,2
1.226446539,1.143135613,1.600141083,0.99919223,1.890326838,2.190042385,0.91408371,0.969521115,0.878466159,0.89236794,1.322245019,1.394335642,1.003017158,1.001572251,0.984857212,1.001572251,1.002447714,0.993926235,1.005568368,1.322245019,1.098196281,0.689100167,0.789157607,1.913830811,0.773634947,1.857537001,USA1576,2
1.226446539,1.143135613,1.600141083,0.99919223,1.890326838,2.190042385,0.91408371,0.969521115,0.878466159,0.89236794,1.322245019,1.394335642,1.003017158,1.001572251,0.984857212,1.001572251,1.002447714,0.993926235,1.005568368,1.322245019,1.098196281,0.689100167,0.789157607,1.913830811,0.773634947,1.857537001,USA1576,2
1.204089441,1.129781908,1.636059835,0.999302939,2.031057051,2.224406186,0.978211571,0.978255539,0.916995377,1.031136624,1.309040009,1.360632398,1.007257788,1.002956108,0.98129858,1.002956108,0.999408789,0.99737681,1.009157455,1.309040009,0.7383755,0.544331324,0.764032222,1.854155212,0.7633451,1.756897328,USA1636,2
1.214980018,1.129781908,1.636309133,0.999302939,2.045370864,2.224406186,0.978211571,0.992789622,0.930310064,1.044991733,1.309040009,1.357108141,1.007257788,1.003049417,0.98129858,1.003049417,0.999408789,0.99737681,1.009157455,1.309040009,0.773536238,0.544331324,0.794189976,1.863591529,0.7633451,1.756897328,USA1636,2
1.205428806,0.953253485,1.636059835,0.998911678,2.031057051,1.976682233,0.978211571,0.940141687,0.765842293,1.031136624,1.162079176,1.299109434,1.008249128,1.002917465,0.98129858,1.002917465,0.999408789,0.99737681,1.009157455,1.162079176,0.66778146,0.544331324,0.679139752,1.448294592,0.679783727,1.376556393,USA1636,2
