fid,ISO3_CODE,COUNTRY_NA,AREA,Classified_Commodity
24035,CAN,Canada,1.464315821,Zinc
24036,CAN,Canada,2.992654862,Iron
24037,CAN,Canada,3.641417499,Uranium
24038,CAN,Canada,0.026610898,Other non-metals
24039,CAN,Canada,0.717238402,Other non-metals
24040,CAN,Canada,0.08755534,Coal
24043,CAN,Canada,0.576251906,Other non-metals
24044,CAN,Canada,0.130165303,Gold
24045,CAN,Canada,0.028775624,Gold
24046,CAN,Canada,0.138565826,Gold
24047,CAN,Canada,0.446547263,Copper
24049,CAN,Canada,0.326096808,Other non-metals
24050,CAN,Canada,0.232146444,Lithium
24051,CAN,Canada,0.222660353,Lithium
24052,CAN,Canada,0.232344245,Gold
24053,CAN,Canada,0.102693467,Ilmenite
24054,CAN,Canada,0.166840652,Gold
24055,CAN,Canada,0.176701319,Gold
24056,CAN,Canada,0.08065542,Copper
24057,CAN,Canada,0.197798592,Coal
24058,CAN,Canada,0.06087901,Coal
24059,CAN,Canada,0.023814298,Coal
24060,CAN,Canada,0.145596366,Coal
24061,CAN,Canada,0.069082435,Coal
24063,CAN,Canada,0.065303704,Coal
24064,CAN,Canada,0.102607847,Gold
24065,CAN,Canada,0.631330365,Coal
24066,CAN,Canada,1.390619529,Coal
24067,CAN,Canada,0.296011077,Gold
24068,CAN,Canada,0.118363456,Gold
24069,CAN,Canada,0.057934175,Gold
24070,CAN,Canada,0.536924643,Iron
24071,CAN,Canada,0.214157395,Gold
24072,CAN,Canada,0.171229931,Iron
24073,CAN,Canada,2.855847405,Lead
24074,CAN,Canada,0.550647717,Coal
24075,CAN,Canada,0.860200841,Coal
24076,CAN,Canada,0.08652419,Coal
24077,CAN,Canada,0.022320861,Coal
24078,CAN,Canada,0.020764201,Coal
24079,BFA,Burkina Faso,0.050036944,Coal
24080,CAN,Canada,0.093842144,Coal
24082,CAN,Canada,0.045571264,Gold
24083,CAN,Canada,0.01256658,Gold
24085,CAN,Canada,0.472394754,Coal
24086,CAN,Canada,1.009118821,Iron
24087,CAN,Canada,0.933774973,Gold
24088,CAN,Canada,0.183324267,Coal
24089,CAN,Canada,0.052085705,Gold
24090,CAN,Canada,0.148559175,Coal
24091,BRA,Brazil,1.349294781,Coal
24092,CHN,China,0.228466624,Coal
24093,BRA,Brazil,0.275028287,Bauxite
24094,BRA,Brazil,0.441255414,Coal
24098,BRA,Brazil,0.249707326,Coal
24099,BRA,Brazil,0.211522243,Ilmenite
24100,BRA,Brazil,0.167212675,Lithium
24101,BRA,Brazil,0.076462587,Coal
24102,BRA,Brazil,2.194414024,Coal
24103,BRA,Brazil,0.731594675,Bauxite
24105,BRA,Brazil,0.132462681,Bauxite
24106,BRA,Brazil,0.130691461,Bauxite
24107,BRA,Brazil,0.016069115,Nickel and Cobalt
24108,BRA,Brazil,0.061486924,Lithium
24109,BRA,Brazil,0.103018549,Coal
24110,BRA,Brazil,0.050957435,Gold
24111,BRA,Brazil,0.055594763,Other metals
24112,BRA,Brazil,0.270848579,Gold
